datetimestamp,mptlat,mptlon
4/15/05,-1.94,-95.18
4/16/05,-2.01,-95.14
4/17/05,-2.26,-94.77
4/18/05,-2.47,-94.69
4/19/05,-2.63,-94.7
4/20/05,-2.67,-94.72
4/21/05,-2.61,-94.66
4/22/05,-2.49,-94.45
4/23/05,-2.35,-94.13
4/24/05,-2.12,-94.06
4/25/05,-1.87,-94.08
4/26/05,-1.66,-94.05
4/27/05,-1.46,-94.32
4/28/05,-1.39,-94.2
4/29/05,-1.36,-94.35
4/30/05,-1.4,-94.63
5/1/05,-1.33,-95.33
5/2/05,-1.3,-95.55
5/3/05,-1.27,-95.53
5/4/05,-1.06,-96.21
5/6/05,-1.27,-95.56
5/8/05,-1.57,-95.79
5/9/05,-1.83,-95.92
5/11/05,-2.65,-95.73
5/12/05,-2.88,-95.74
5/13/05,-3.07,-95.75
5/15/05,-3.56,-94.48
5/16/05,-3.25,-95
5/17/05,-3,-95.24
5/18/05,-2.73,-95.43
5/19/05,-2.63,-95.15
5/20/05,-2.77,-94.84
5/21/05,-3.05,-94.81
5/22/05,-3.13,-94.62
5/23/05,-2.92,-94.33
5/24/05,-2.71,-93.86
5/25/05,-2.57,-93.61
5/26/05,-2.44,-93.29
5/27/05,-2.23,-93.07
5/28/05,-1.89,-93.1
5/29/05,-1.76,-92.81
5/30/05,-1.56,-92.7
5/31/05,-1.56,-92.55
6/1/05,-1.84,-92.25
6/2/05,-2,-92.18
6/3/05,-2.06,-92.18
6/4/05,-2.35,-92.01
6/5/05,-2.48,-92.02
6/6/05,-2.46,-92.22
6/7/05,-2.23,-92.33
6/8/05,-1.96,-92.33
6/9/05,-1.84,-92.2
6/10/05,-1.66,-92.17
6/11/05,-1.6,-91.98
6/12/05,-1.7,-91.51
6/13/05,-1.57,-90.7
6/14/05,-0.94,-89
6/15/05,-1.77,-88.32
6/16/05,-2.48,-90.43
6/17/05,-2.63,-91.33
6/18/05,-2.65,-91.65
6/19/05,-2.59,-91.64
6/20/05,-2.31,-91.58
6/21/05,-2.27,-90.99
6/22/05,-2.12,-90.9
6/23/05,-2.02,-90.63
6/25/05,-1.7,-91.31
6/26/05,-1.17,-92.37
6/27/05,-1.28,-92.6
6/28/05,-1.95,-93.03
6/29/05,-2.08,-93.35
6/30/05,-2.05,-93.43
7/1/05,-2.32,-93.08
7/2/05,-2.61,-92.71
7/3/05,-2.82,-92.62
7/4/05,-2.96,-92.83
7/5/05,-3.1,-92.98
7/6/05,-3.04,-93.37
7/8/05,-3.38,-92.87
7/9/05,-3.75,-92.5
7/10/05,-3.99,-92.35
7/11/05,-4.07,-92.48
7/12/05,-4.12,-92.63
7/13/05,-4.08,-92.72
7/14/05,-4.04,-92.53
7/15/05,-4.02,-92.07
7/16/05,-4.03,-91.62
7/17/05,-4.15,-91.33
7/19/05,-4.4,-90.94
7/20/05,-4.45,-90.79
7/21/05,-4.56,-90.42
7/22/05,-4.58,-90.06
7/23/05,-4.6,-89.59
7/24/05,-4.7,-89.02
7/25/05,-4.63,-88.65
7/27/05,-4.22,-88.08
7/28/05,-4.17,-88.02
7/29/05,-4.04,-88.33
7/30/05,-3.98,-88.78
7/31/05,-4.08,-88.83
8/1/05,-4.04,-88.84
8/3/05,-4.2,-88.03
8/4/05,-4.25,-87.8
8/5/05,-4.34,-87.42
8/6/05,-4.32,-86.89
8/7/05,-4.12,-86.54
8/8/05,-3.76,-86.49
8/9/05,-3.39,-86.33
8/10/05,-3.17,-86.07
8/11/05,-3,-86.06
8/12/05,-2.65,-85.66
8/13/05,-2.35,-85.58
8/14/05,-2.18,-85.61
8/15/05,-2.04,-85.62
8/16/05,-1.73,-85.57
8/17/05,-1.34,-85.22
8/18/05,-0.84,-85.24
8/19/05,-0.52,-85.11
8/20/05,-0.4,-85.2
8/21/05,-0.28,-85.24
8/22/05,-0.22,-85.33
8/23/05,-0.24,-85.48
8/24/05,-0.34,-85.92
8/25/05,-0.5,-86.63
8/26/05,-0.78,-86.9
8/27/05,-0.96,-87.14
8/28/05,-1.12,-87.12
8/29/05,-1.13,-86.77
8/30/05,-1.09,-86.42
8/31/05,-1.06,-85.89
9/1/05,-1.15,-85.6
9/2/05,-1.16,-85.69
9/3/05,-0.94,-85.76
9/4/05,-0.72,-85.74
9/5/05,-0.26,-85.46
9/6/05,0.9,-85.33
9/7/05,1.41,-85.12
9/8/05,1.58,-84.62
9/9/05,1.51,-84.45
9/10/05,1.23,-84.11
9/11/05,0.44,-84.47
9/12/05,-0.38,-85.88
9/13/05,-0.88,-89.65
9/14/05,-1.69,-87.21
9/15/05,-2.23,-85.44
9/16/05,-2.4,-84.54
9/17/05,-2.24,-84.13
9/18/05,-1.63,-84.07
9/19/05,-0.43,-83.84
9/20/05,-0.1,-83.93
9/21/05,-0.32,-84.04
9/22/05,-0.38,-83.79
9/23/05,-0.22,-83.81
9/24/05,0.02,-83.95
9/26/05,0.61,-84.27
9/27/05,0.85,-84.45
9/28/05,0.8,-84.64
9/29/05,0.46,-84.55
9/30/05,-0.31,-84.44
10/1/05,-0.9,-84.15
10/2/05,-1.12,-84.62
10/3/05,-1.11,-84.83
10/4/05,-0.88,-84.85
10/5/05,-0.36,-84
10/6/05,0.65,-84.01
10/7/05,1.4,-85.16
10/8/05,1.62,-85.48
10/9/05,1.68,-85.82
10/10/05,1.4,-85.79
10/11/05,0.96,-85.78
10/12/05,0.66,-86.14
10/13/05,0.5,-86.69
10/14/05,0.43,-86.73
10/15/05,0.14,-86.79
10/16/05,-0.27,-87.05
10/17/05,-0.41,-87
10/18/05,-0.53,-88.46
10/19/05,-0.25,-87.43
10/20/05,0.3,-87.71
10/21/05,1.2,-86.93
10/22/05,1.98,-86.42
10/23/05,2.64,-86.16
10/24/05,3.16,-86.42
10/25/05,3.19,-86.86
10/26/05,2.96,-86.86
10/27/05,2.44,-86.89
10/29/05,1.19,-88.35
10/30/05,1.2,-86.25
10/31/05,0.91,-85.37
11/1/05,1.47,-84.97
11/2/05,2.96,-84.8
11/3/05,4,-84.25
11/4/05,4.82,-83.64
11/5/05,5.45,-83.47
11/7/05,6.37,-83.33
11/8/05,6.72,-83.36
11/9/05,7.19,-83
11/10/05,7.54,-82.44
11/11/05,7.27,-82.85
11/12/05,7.07,-82.59
11/14/05,6.1,-83.18
11/15/05,4.98,-84.8
11/16/05,4.98,-83.52
11/19/05,4.97,-83.4
11/20/05,4.71,-83.78
11/22/05,4.06,-84.78
11/24/05,2.18,-86.76
11/25/05,2.84,-85.97
11/26/05,4.32,-85.26
11/28/05,5.69,-84.57
11/30/05,6.06,-85.32
12/1/05,6.05,-85.35
12/2/05,6,-85.28
12/3/05,6,-85.36
12/4/05,5.87,-85.53
12/5/05,5.55,-85.64
12/6/05,5.16,-86.03
12/8/05,4.83,-85.91
12/9/05,4.48,-85.92
12/11/05,4.17,-86.41
12/12/05,4.08,-86.9
12/13/05,3.87,-87.54
12/14/05,3.69,-86.51
12/15/05,3.71,-86.21
12/16/05,3.42,-85.67
12/17/05,3.45,-85.72
12/18/05,3.78,-86.15
12/19/05,3.83,-86.27
12/20/05,3.72,-86.13
12/21/05,3.6,-86.46
12/22/05,3.99,-86.34
12/23/05,4.37,-86.03
12/24/05,4.32,-86.37
12/25/05,4.15,-86.06
12/26/05,3.74,-86.05
12/27/05,3.78,-86.13
12/28/05,4.03,-86.15
12/29/05,3.9,-86.02
12/30/05,3.61,-86.24
1/1/06,3.93,-86.06
1/2/06,3.96,-85.99
1/3/06,3.94,-86.18
1/4/06,3.76,-86.45
1/5/06,3.71,-86.28
1/6/06,3.64,-86.29
1/7/06,3.71,-85.98
1/8/06,3.56,-85.94
1/9/06,3.32,-85.62
1/10/06,3.05,-85.08
1/11/06,2.71,-84.87
1/12/06,2.33,-84.7
1/13/06,2.09,-84.16
1/14/06,2.08,-84.26
1/15/06,2.04,-84.59
1/16/06,1.61,-84.88
1/17/06,1.07,-85.05
1/18/06,0.84,-84.8
1/19/06,0.78,-84.48
1/20/06,1.04,-84.05
1/21/06,1.37,-83.34
1/22/06,1.56,-83.23
1/23/06,1.94,-82.81
1/24/06,2.11,-82.85
1/25/06,2.17,-83.11
1/26/06,2.42,-82.95
1/27/06,2.68,-82.62
1/28/06,2.79,-82.96
1/29/06,3.03,-82.98
1/30/06,3.27,-83.1
1/31/06,3.26,-83.1
2/1/06,2.88,-83.2
2/2/06,2.19,-83.59
2/3/06,1.74,-83.63
2/4/06,1.81,-83.61
2/5/06,1.92,-84.12
2/6/06,1.77,-83.56
2/7/06,1.77,-83.72
2/8/06,1.94,-83.15
2/9/06,1.87,-82.46
2/11/06,2.34,-81.72
2/12/06,2.92,-81.83
2/13/06,3.4,-82.13
2/14/06,3.99,-82.24
2/15/06,4.63,-82.56
2/16/06,5.04,-83.22
2/18/06,5.96,-82.83
2/19/06,6.35,-82.98
2/20/06,6.48,-83.14
2/21/06,6.64,-82.94
2/22/06,6.56,-83.39
2/23/06,6.4,-83.65
2/24/06,6.26,-83.66
2/25/06,6.03,-83.87
2/26/06,5.83,-84.27
2/27/06,5.77,-83.95
2/28/06,5.62,-84.07
3/2/06,5.38,-84.27
3/4/06,5.29,-83.67
3/5/06,5.08,-83.39
3/6/06,4.87,-83.27
3/7/06,4.71,-82.91
3/8/06,4.58,-82.83
3/9/06,4.67,-82.46
3/10/06,4.72,-82.51
3/11/06,4.82,-82.41
3/12/06,4.97,-82.39
3/13/06,5.2,-82.56
3/14/06,5.5,-82.73
3/15/06,5.66,-82.78
3/16/06,5.61,-82.49
3/17/06,5.52,-82.31
3/18/06,5.43,-82.19
3/19/06,5.36,-82.24
3/20/06,5.19,-82.48
3/21/06,4.92,-82.36
3/22/06,4.6,-82.32
3/23/06,4.16,-82.46
3/24/06,3.64,-82.22
3/25/06,3.06,-81.7
3/26/06,2.56,-81.88
3/27/06,2.12,-82.02
3/28/06,1.77,-82.03
3/29/06,1.56,-82
3/30/06,1.34,-81.92
3/31/06,1.19,-81.92
4/1/06,1.13,-81.92
4/2/06,0.97,-82.06
4/3/06,0.79,-82.39
4/4/06,0.96,-82.35
4/5/06,1.19,-82.33
4/6/06,1.17,-81.7
4/7/06,0.82,-81.53
4/8/06,0.5,-81.46
4/9/06,0.04,-81.42
4/10/06,-0.39,-81.5
4/11/06,-0.9,-81.84
4/12/06,-1.2,-81.63
4/13/06,-0.9,-81.66
4/14/06,-0.61,-81.87
4/15/06,-0.39,-81.77
4/16/06,0.14,-81.82
4/17/06,1.27,-81.83
4/19/06,2.16,-82.11
4/21/06,2.08,-80.8
4/22/06,2.08,-80.28
4/23/06,2.2,-79.77
4/24/06,1.86,-79.3
4/25/06,1.54,-78.97
4/26/06,1,-78.91
4/27/06,0.44,-79.21
4/29/06,0.59,-79.48
4/30/06,0.05,-79.69
5/1/06,-0.17,-79.54
5/2/06,-0.35,-79.55
5/3/06,-0.55,-79.4
5/4/06,-0.66,-79.27
5/5/06,-0.72,-79.31
5/6/06,-1.26,-79.68
5/7/06,-1.58,-80.17
5/10/06,-2.28,-80.95
5/12/06,-2.06,-80.9
5/13/06,-1.77,-80.9
5/14/06,-1.56,-80.64
5/15/06,-1.51,-80.79
5/16/06,-1.36,-80.98
5/17/06,-0.85,-81.62
5/19/06,-0.16,-81.77
5/20/06,-0.05,-81.73
5/21/06,0.09,-81.8
5/22/06,0.52,-82.18
5/23/06,0.8,-82.32
5/24/06,0.7,-81.37
5/25/06,0.72,-80.83
5/26/06,0.75,-80.64
5/27/06,0.61,-80.51
5/28/06,0.5,-80.76
5/30/06,0.39,-80.64
5/31/06,0.31,-80.46
6/1/06,0.37,-80.98
6/2/06,0.01,-80.76
6/3/06,-0.12,-80.65
6/4/06,-0.21,-80.76
6/5/06,-0.51,-80.86
6/6/06,-0.65,-81.17
6/7/06,-0.83,-81.21
6/8/06,-1.03,-81.61
6/9/06,-1.62,-81.49
6/10/06,-2.03,-81.37
6/11/06,-2.12,-80.88
6/12/06,-2.55,-80.2
6/14/06,-2.86,-80.56
6/16/06,-2.6,-81.34
6/17/06,-2.25,-81.73
6/18/06,-2.22,-81.63
6/19/06,-2.24,-81.38
6/20/06,-2.47,-81.16
6/21/06,-2.56,-81.63
6/22/06,-2.76,-81.7
6/23/06,-2.85,-81.56
6/24/06,-2.67,-81.69
6/25/06,-2.3,-82.11
6/26/06,-2.19,-82.09
6/27/06,-2.43,-81.59
6/28/06,-2.56,-81.25
6/29/06,-2.18,-81.3
6/30/06,-1.72,-81.74
7/1/06,-1.68,-81.4
7/2/06,-1.55,-81.38
7/3/06,-1.36,-81.67
7/4/06,-1.43,-82.13
7/5/06,-1.74,-82.46
7/6/06,-2.12,-81.96
7/7/06,-2.07,-82.26
7/8/06,-2.03,-82.09
7/9/06,-1.72,-82.04
7/10/06,-1.65,-81.63
7/11/06,-1.52,-82.03
7/12/06,-1.42,-81.64
7/13/06,-1.04,-81.87
7/14/06,-1.08,-82.49
7/15/06,-0.98,-82.22
7/16/06,-0.94,-81.87
7/17/06,-1.01,-81.63
7/18/06,-1.35,-81.43
7/19/06,-2.05,-81.59
7/20/06,-2.21,-81.33
7/21/06,-1.99,-81.58
7/22/06,-1.78,-81.91
7/23/06,-1.54,-81.89
7/24/06,-1.37,-81.6
7/25/06,-1.41,-81.58
7/27/06,-1.63,-81.51
7/28/06,-1.5,-81.83
7/29/06,-1.27,-81.84
7/31/06,-1.29,-82.17
8/2/06,-1.17,-82.11
8/3/06,-1.11,-82.02
8/4/06,-1.14,-82.28
8/5/06,-0.99,-82.06
8/6/06,-0.57,-82.19
8/7/06,-0.32,-82.39
8/8/06,-0.11,-82.11
8/9/06,-0.3,-81.91
8/10/06,-0.66,-81.43
8/11/06,-0.68,-81.94
8/12/06,-0.59,-81.99
8/13/06,-0.44,-81.91
8/15/06,-0.07,-83.5
8/17/06,0.11,-81.85
8/18/06,0.02,-81.4
8/20/06,0.14,-81.85
8/21/06,0.13,-82.06
8/22/06,-0.25,-82.32
8/23/06,-0.91,-82.2
8/24/06,-0.92,-82.19
8/25/06,-0.94,-81.79
8/27/06,-0.95,-82.04
8/28/06,-1.09,-82.32
8/29/06,-1.31,-82.25
8/30/06,-1.3,-82.06
8/31/06,-0.96,-82.09
9/1/06,-1.07,-82.17
9/2/06,-1.17,-82.3
9/3/06,-1.26,-82.19
9/4/06,-1.3,-82.05
9/5/06,-1.23,-81.94
9/6/06,-0.99,-82.25
9/7/06,-0.57,-82.67
9/8/06,0.07,-82.77
9/9/06,0.42,-82.15
9/10/06,0.52,-81.76
9/11/06,0.55,-81.77
9/12/06,0.46,-81.69
9/13/06,0.36,-81.87
9/14/06,0.29,-81.9
9/15/06,0.44,-82.01
9/16/06,0.32,-82.03
9/17/06,0.3,-81.57
9/18/06,0.53,-81.31
9/19/06,0.86,-81.78
9/20/06,1.21,-82.17
9/21/06,1.13,-82.02
9/22/06,0.95,-82.07
9/24/06,0.55,-81.67
9/25/06,0.61,-81.89
9/27/06,0.49,-81.47
9/29/06,0.31,-81.44
9/30/06,0.13,-81.6
10/1/06,-0.03,-81.99
10/2/06,-0.15,-82.39
10/3/06,-0.13,-81.83
10/4/06,0.07,-81.51
10/5/06,0.24,-81.46
10/6/06,1,-81.47
10/9/06,2.37,-81.11
10/12/06,3.1,-81.53
10/13/06,3.15,-81.84
10/14/06,3.12,-82.29
10/15/06,3.1,-82.1
10/16/06,3.04,-82.03
10/17/06,3.02,-81.98
10/18/06,3.37,-81.33
10/19/06,3.66,-81.62
10/21/06,4.09,-82.16
10/22/06,4.17,-82.36
10/23/06,4.1,-82.72
10/24/06,4.06,-82.59
10/25/06,4.02,-82.24
10/26/06,3.88,-82.54
10/27/06,3.64,-83.11
10/28/06,3.4,-82.98
10/29/06,3.03,-82.56
10/30/06,2.48,-82.81
10/31/06,2.11,-82.82
11/1/06,2.1,-82.01
11/2/06,2.29,-81.62
11/3/06,2.54,-81.53
11/4/06,2.75,-81.66
11/5/06,2.88,-81.98
11/6/06,3.01,-82.2
11/7/06,3.16,-82.5
11/8/06,3.14,-82.36
11/9/06,2.49,-82.5
11/10/06,1.73,-82.88
11/11/06,1.11,-83.16
11/12/06,0.49,-83.01
11/13/06,-0.34,-83.2
11/14/06,-0.83,-82.8
11/15/06,-0.84,-82.32
11/16/06,-1.06,-81.92
11/17/06,-1.19,-81.93
11/18/06,-0.95,-81.97
11/19/06,-0.59,-81.5
11/20/06,-0.51,-81.53
11/21/06,-0.63,-81.74
11/22/06,-0.81,-81.91
11/23/06,-0.88,-82.23
11/24/06,-1.13,-82.79
11/25/06,-0.94,-81.87
11/26/06,-0.86,-81.35
11/27/06,-0.95,-81.28
11/28/06,-0.93,-81.32
11/29/06,-0.87,-81.75
11/30/06,-1,-82.09
12/1/06,-1.25,-82.15
12/2/06,-1.54,-82.03
12/3/06,-1.89,-81.91
12/4/06,-1.95,-82.1
12/5/06,-1.71,-82.17
12/6/06,-1.28,-81.96
12/7/06,-1.14,-82
12/8/06,-1.13,-82.17
12/9/06,-1.11,-82.34
12/10/06,-1.58,-82.25
12/11/06,-2.27,-81.58
12/12/06,-2.96,-81.28
12/13/06,-3.46,-81.72
12/14/06,-3.61,-82.3
12/15/06,-3.17,-82.36
12/16/06,-2.85,-82.48
12/17/06,-2.51,-82.76
12/18/06,-1.89,-83.01
12/19/06,-1.72,-82.93
12/20/06,-1.63,-82.87
12/21/06,-1.22,-83
12/22/06,-0.79,-83.31
12/23/06,-0.57,-83.09
12/24/06,-0.79,-83.19
12/25/06,-0.74,-83.12
12/26/06,-0.13,-82.58
12/27/06,0.2,-82.31
12/28/06,0.41,-82.12
12/29/06,0.7,-82.32
12/30/06,0.67,-82.35
12/31/06,0.52,-82.09
1/1/07,0.25,-82.01
1/2/07,0.42,-81.94
1/3/07,0.62,-82.16
1/4/07,0.47,-82.35
1/5/07,0.19,-82.93
1/6/07,-0.16,-83.61
1/7/07,-0.26,-83.78
1/8/07,-0.29,-83.75
1/9/07,0.02,-83.17
1/10/07,0.5,-82.63
1/11/07,0.87,-82.57
1/12/07,1.05,-82.7
1/13/07,1.14,-82.94
1/14/07,1.19,-83.13
1/15/07,1.15,-82.86
1/16/07,1.02,-82.44
1/17/07,0.84,-82.29
1/18/07,0.34,-82.82
1/20/07,0.35,-82.75
1/22/07,0.14,-83.24
1/23/07,-0.21,-83.36
1/25/07,-0.52,-83.47
1/27/07,0.11,-83.19
1/28/07,0.22,-83.15
1/29/07,0.24,-83.13
1/30/07,0.35,-83.18
1/31/07,0.56,-82.98
2/1/07,0.8,-82.93
2/2/07,1.15,-82.44
2/3/07,0.51,-83.46
2/4/07,0.03,-83.53
2/5/07,-0.33,-83.32
2/6/07,-1.03,-83.75
2/7/07,-1.21,-83.28
2/8/07,-1.3,-83.54
2/9/07,-1.27,-83.81
2/10/07,-1.14,-83.69
2/11/07,-1.18,-83.39
2/12/07,-1.27,-83
2/13/07,-1.5,-83.22
2/14/07,-1.87,-83.69
2/15/07,-2.25,-83.91
2/16/07,-2.74,-84.14
2/17/07,-3.48,-84.44
2/18/07,-4.17,-84.17
2/19/07,-5.05,-84.81
2/20/07,-5.36,-84.8
2/21/07,-5.2,-83.99
2/22/07,-5.16,-83.81
2/23/07,-5.23,-83.82
2/24/07,-5.16,-84.22
2/25/07,-5.08,-84.61
2/26/07,-5.11,-85.05
2/27/07,-4.77,-84.42
2/28/07,-4.42,-84.84
3/1/07,-4.12,-85.13
3/2/07,-4.07,-85.32
3/3/07,-4.2,-85.53
3/4/07,-4.32,-85.11
3/5/07,-4.44,-84.69
3/6/07,-4.66,-84.51
3/7/07,-5.01,-84.62
3/8/07,-5.39,-84.48
3/9/07,-5.76,-84.72
3/10/07,-6.02,-84.85
3/11/07,-6.31,-85.44
3/12/07,-6.53,-85.29
3/13/07,-6.67,-84.7
3/14/07,-6.73,-85.21
3/15/07,-6.7,-85.22
3/16/07,-6.65,-84.95
3/17/07,-6.6,-85.02
3/18/07,-6.42,-85.01
3/19/07,-6.25,-85.11
3/20/07,-6.05,-84.89
3/21/07,-5.83,-84.29
3/22/07,-5.62,-84.22
3/23/07,-5.41,-84.63
3/24/07,-5.23,-84.38
3/25/07,-5.05,-84.28
3/26/07,-4.83,-84.06
3/27/07,-4.58,-84.26
3/28/07,-4.3,-84.22
3/29/07,-4,-83.99
3/30/07,-3.64,-84.53
3/31/07,-3.33,-84.65
4/1/07,-3.01,-84.09
4/2/07,-2.68,-82.98
4/3/07,-2.2,-82.61
4/4/07,-1.67,-83.54
4/5/07,-1.21,-84.8
4/6/07,-0.81,-85.42
4/7/07,-0.7,-84.05
4/8/07,-0.8,-83.45
4/9/07,-1.06,-82.42
4/10/07,-1.35,-82.46
4/11/07,-1.34,-82.82
4/12/07,-1.2,-83.25
4/13/07,-1.37,-82.78
4/14/07,-1.37,-83.14
4/15/07,-1.35,-83.32
4/16/07,-1.29,-83.94
4/17/07,-1.18,-84.6
4/18/07,-1.12,-84.14
4/19/07,-1,-83.81
4/20/07,-0.95,-84.42
4/21/07,-1.05,-84.72
4/22/07,-0.95,-84.8
4/23/07,-0.63,-84.71
4/24/07,-0.16,-84.77
4/25/07,0.08,-84.94
4/26/07,0.26,-84.98
4/27/07,0.73,-84.51
4/28/07,0.87,-84.4
4/29/07,0.73,-84.47
4/30/07,0.9,-84.49
5/1/07,0.85,-84.55
5/2/07,0.94,-85.16
5/3/07,0.75,-84.57
5/4/07,0.85,-84.27
5/5/07,0.91,-84.02
5/6/07,0.98,-83.83
5/7/07,0.86,-83.67
5/8/07,1.14,-82.9
5/9/07,1.56,-82.87
5/10/07,1.75,-83.59
5/11/07,1.51,-84.17
5/12/07,0.88,-84.24
5/13/07,0.8,-84.45
5/14/07,1.23,-85.18
5/15/07,2.02,-85.88
5/16/07,2.4,-86.61
