position_date_time,depth,measurement_value
2005-07-01T00:00:00Z,156.0,15.35
2005-07-01T00:00:00Z,7.5,23.0
2005-07-01T00:00:00Z,10.5,23.0
2005-07-01T00:00:00Z,9.5,22.95
2005-07-01T00:00:00Z,18.0,22.65
2005-07-01T00:00:00Z,19.5,22.8
2005-07-01T00:00:00Z,18.5,23.05
2005-07-01T00:00:00Z,21.0,23.0
2005-07-01T00:00:00Z,27.0,23.0
2005-07-01T00:00:00Z,21.5,23.0
2005-07-01T00:00:00Z,17.0,23.05
2005-07-01T00:00:00Z,20.5,23.0
2005-07-01T00:00:00Z,247.5,14.75
2005-07-01T00:00:00Z,258.0,14.7
2005-07-01T00:00:00Z,283.0,14.45
2005-07-01T00:00:00Z,252.5,14.6
2005-07-01T00:00:00Z,33.0,22.8
2005-07-01T00:00:00Z,268.5,14.5
2005-07-01T00:00:00Z,282.0,13.5
2005-07-01T00:00:00Z,249.5,14.55
2005-07-01T00:00:00Z,228.0,14.75
2005-07-01T00:00:00Z,302.5,13.5
2005-07-01T00:00:00Z,274.5,14.3
2005-07-01T00:00:00Z,260.0,14.5
2005-07-01T00:00:00Z,22.5,22.95
2005-07-01T00:00:00Z,11.5,23.3
2005-07-01T00:00:00Z,5.0,23.4
2005-07-01T00:00:00Z,20.5,23.3
2005-07-01T00:00:00Z,13.0,23.4
2005-07-01T00:00:00Z,19.5,23.25
2005-07-01T00:00:00Z,5.0,23.45
2005-07-01T00:00:00Z,36.0,23.05
2005-07-01T00:00:00Z,38.5,23.2
2005-07-01T00:00:00Z,1.5,23.6
2005-07-01T00:00:00Z,2.0,23.55
2005-07-01T00:00:00Z,1.5,23.85
2005-07-01T00:00:00Z,2.5,23.85
2005-07-01T00:00:00Z,5.0,23.55
2005-07-01T00:00:00Z,21.5,23.25
2005-07-01T00:00:00Z,12.5,23.8
2005-07-01T00:00:00Z,5.5,23.9
2005-07-01T00:00:00Z,24.5,23.2
2005-07-01T00:00:00Z,73.5,18.9
2005-07-01T00:00:00Z,-0.5,24.05
2005-07-03T00:00:00Z,8.0,23.9
2005-07-03T00:00:00Z,9.0,23.85
2005-07-03T00:00:00Z,0.0,23.8
